ability,inability
able,incapable
active,torpid
agency,deadhead
aggressive,peaceable
ambitious,unambitious
anxious,unconcerned
apathy,enthusiasm
assertive,retract
assertiveness,negativist
autonomous,trussed
bright,dim
brilliant,dull
capable,incapable
careless,careful
cautious,incautious
clever,stupid
clumsy,dexterous
competent,incompetent
confidence,distrust
confident,ambivalent
conscientious,slipshod
creative,unproductive
critical,uncritical
daring,timid
dedicated,unhallowed
dependent,independent
determined,irresolute
diffident,confidently
discriminating,indiscriminate
docile,refractory
dominance,turbulence
dominant,subordinate
dominating,squat
doubt,certainty
doubtful,certain
dumb,precociousness
dumbness,intelligence
educated,uneducated
education,ignorance
effective,ineffective
efficient,inefficient
energetic,lethargic
fear,profaneness
fearlessness,cowardliness
felicitous,infelicitous
folly,wisdom
foolish,sapient
graceful,graceless
helpless,powerful
ignorance,savvy
ignorant,knowledgeable
illogical,logical
imaginative,reality
impulsive,cautious
inability,ability
inactive,active
incapable,capable
incompetent,competent
independent,dependent
industrious,shiftless
ineffective,effective
inefficient,efficient
inept,dexterous
insecure,securely
insightful,blind
intelligence,dumbness
intelligent,stupid
inventive,unproductive
irrational,rational
lazy,expeditious
lethargic,energetic
logical,illogicality
maladroit,dexterous
meek,overbearing
meticulous,imprecise
motivated,shiftless
naive,calculating
negligent,heedful
persistence,discontinuance
persistent,sporadic
practical,quixotic
rational,irrational
resilient,stiffness
resolute,irresolute
secure,unbrace
shrewd,witless
skill,inability
skilled,inexperienced
smart,unintelligent
spiritless,spirited
sporadic,continual
striver,deadhead
striving,peace
stupid,intelligent
stupidity,cleverness
submission,insubordinate
submissive,overbearing
unable,competent
unambitious,enterprising
uneducated,educated
unenterprising,enterprising
unintelligent,intelligent
unwavering,wavering
unwise,judicious
vulnerable,fortified
wavering,unwavering
wisdom,folly
wise,foolish
