able,calf
accomplish,abort
accuracy,absoluteness
accurate,aberrational
achieve,abort
acquire,accord
adaptable,abovementioned
ambition,activate
ambitious,ambitionless
aptitude,absoluteness
aptly,anomalously
aptness,absoluteness
aspiration,gingivitis
aspire,nurse
aspiring,ambitionless
assert,abjuratory
attain,vale
authoritative,impotent
autonomous,trussed
autonomy,artlessness
capable,awkward
choice,censorship
clever,arcadian
completion,bitty
confident,bloodless
confidently,adumbratively
conquer,benefactor
conscientious,abstracted
contemplate,matte
contend,cacique
contest,conch
decide,continued
decision,bias
decisive,bloodless
defeat,crest
deliberate,awkward
dependable,chameleonic
determine,any
difficult,crib
do,can
doable,debacle
doing,disrespect
eager,detached
earning,benefactor
easiness,disablement
easy,draconically
effective,can
efficiency,disablement
effort,composedly
enact,extrajudicial
establish,annihilative
established,bold
exact,enigmatic
expert,disablement
fail,delphinium
fluency,disassociation
freedom,estrangement
freely,defiantly
goal,avaunt
important,honorary
independent,customised
insight,fresh
intent,inconsequential
intuitive,authenticable
keen,gup
know,fresh
liberty,despotically
logic,groundless
loner,carouse
made,drub
make,can
making,callus
masterful,fresh
mastery,drub
motivate,hocus
need,inconsequential
objective,impersonal
obtain,merchant
opportune,incommodiously
overcome,fling
perseverance,hesitation
persist,mortality
persistent,inconsequential
pioneer,perverted
pragmatic,perverted
prevail,customised
pride,exercise
prideful,humility
priority,inconsequential
productive,documentary
productivity,annihilative
proficiency,inconvenience
prosper,miserable
proud,inconsequential
purpose,can
pursue,dun
rational,groundless
rebel,inconsequential
recognisable,inconsequential
reliable,perverted
reputation,littleness
resilience,measles
resolute,feline
resolution,feline
resolve,enigmatic
responsible,enigmatic
reward,appointee
risk,protection
savvy,gup
score,drub
scores,decorticate
self,disulphate
should,booth
significant,inconsequential
skill,fresh
skilled,fresh
skills,inconvenience
smart,arcadian
smartly,gup
steadfast,inconsequential
strive,lemons
striving,lemons
struggle,floppiness
stubborn,floppiness
succeed,drub
success,drub
sure,perverted
take,merchant
taking,dwelling
tenace,peevishness
think,renege
thinking,misconception
thought,appreciable
triumph,drub
trying,inconsequential
unyielding,lenity
vanquish,fling
victor,drub
will,appointee
willing,uncommitted
willpower,hesitation
win,drub
winner,drub
winning,loathly
wit,loftily
wits,dissension
witting,uncommitted
won,suspension
